i;r;s;tx;trm;tm
arg;oce;asia;0.0012642225031605564;3.3585858585858586;0.04915995397008055
arg;oce;cis;0.0011918951132300103;0.7333333333333333;0.007194244604316521
arg;oce;eur;0.0;0.6464285714285715;0.020757020757020756
arg;oce;noa;0.0017513134851138354;0.12762237762237763;0.005868544600938967
arg;oce;oce;0.0;0.12886597938144329;0.01004566210045662
arg;oce;row;0.0027700831024931143;8.67403314917127;0.07145501666049611
arg;oce;rus;0.024193548387096794;49.92125984251968;0.01818181818181818
arg;oce;soa;0.0;0.009876543209876543;0.027139874739039754
arg;row;Unnamed: 10;0.0;0.0;0.0
arg;row;afr;0.0;0.008146920740127036;0.04844290657439446
arg;row;asia;0.0002352387673488591;0.01284101599247413;0.08181818181818182
arg;row;cis;0.0;0.004459402608329827;0.06557377049180334
arg;row;eur;-0.00030679552078539653;0.02715973607488108;0.028112449799196786
arg;row;noa;0.009648518263266712;0.006996587030716724;0.007978723404255319
arg;row;oce;0.0;0.0008462505236698785;0.0
arg;row;row;0.00070298769771529;0.16157358623112048;0.010885999395222256
arg;row;rus;0.00047551117451260106;0.07034220532319392;0.08762169680111266
arg;row;soa;0.0021766169154228856;0.0002972385975798945;0.023381294964028725
arg;rus;Unnamed: 10;0.0;0.0;0.0
arg;rus;afr;0.0;0.25709372312983664;0.06785443517816528
arg;rus;asia;0.0;0.14917825537294563;0.3402177994742771
arg;rus;cis;0.0010121457489878543;0.07512639029322547;0.0
arg;rus;eur;-0.0006558810668998689;0.06431852986217458;0.02221462747778537
arg;rus;noa;0.0019267822736030828;0.03807692307692308;0.15151515151515152
arg;rus;oce;0.0;8.823529411764705e-05;0.0
arg;rus;row;-0.0017482517482517483;0.3905429071803853;0.12548345509239364
arg;rus;rus;0.0;0.0;0.0
arg;rus;soa;0.003896103896103896;0.003906856403622251;0.029813664596273364
arg;soa;Unnamed: 10;0.0;0.0;0.0
arg;soa;afr;0.0;1.5591836734693878;0.035252960172228204
arg;soa;asia;0.0;4.614307931570762;0.15254944504715012
arg;soa;cis;0.0;1.716216216216216;0.03468208092485549
arg;soa;eur;0.0;2.2217194570135748;0.046765039727582294
arg;soa;noa;0.00032808398950131233;0.20810101672679568;0.008458498023715415
arg;soa;oce;0.0;0.4131868131868132;0.0
arg;soa;row;0.0;7.399267399267399;0.08161014612627517
arg;soa;rus;0.001400560224089556;4.27972027972028;0.022857142857142857
arg;soa;soa;0.0003016136329362087;0.21136740539725615;0.0031113876789047915
eng;Unnamed: 10;afr;0.0;0.0;0.0
eng;Unnamed: 10;asia;0.0;0.0;0.0
eng;Unnamed: 10;cis;0.0;0.0;0.0
eng;Unnamed: 10;eur;0.0;0.0;0.0
eng;Unnamed: 10;noa;0.0;0.0;0.0
eng;Unnamed: 10;oce;0.0;0.0;0.0
eng;Unnamed: 10;row;0.0;0.0;0.0
eng;Unnamed: 10;rus;0.0;0.0;0.0
eng;Unnamed: 10;soa;0.0;0.0;0.0
eng;afr;Unnamed: 10;0.0;0.0;0.0
eng;afr;afr;0.005032067094227923;0.044472805811898684;0.004229720838424664
eng;afr;asia;0.07291666666666667;13.54368932038835;0.0038915649709578537
eng;afr;cis;0.00510204081632653;0.04145516074450085;0.002506265664160401
eng;afr;eur;-0.0020990764063811922;2.2406394615061003;1.4709235193316124e-05
eng;afr;noa;0.0;0.4582798459563543;0.00031598904571308195
eng;afr;oce;0.0;0.6160714285714286;0.0005803830528148578
eng;afr;row;0.0;0.007746886765131769;0.011916583912611719
eng;afr;rus;0.1756152125279642;0.012749762131303521;0.020066889632107024
eng;afr;soa;0.013309671694764862;0.38791593695271454;0.00017426156661148382
eng;asia;Unnamed: 10;0.0;0.0;0.0
eng;asia;afr;0.0027010595796421745;0.00025465348935912205;0.04072398190045249
eng;asia;asia;0.017868190550617044;0.07698398099792865;0.003683213901162143
eng;asia;cis;0.042778505897771955;0.0002724850434870042;0.013986013986013986
eng;asia;eur;-0.006273030356202843;0.013728865933871893;0.0001377220768489189
eng;asia;noa;0.00023449407902450463;0.005548392138475364;0.00035236081747709656
eng;asia;oce;0.00023026386800123767;0.0011942188298094286;0.0
eng;asia;row;0.00015721518181239253;0.00022086255782718999;0.022970903522205207
eng;asia;rus;0.5799907888125942;0.0001563473030090231;0.018617021276595744
eng;asia;soa;0.009764472342936852;0.0001673662398384783;0.008021390374331552
eng;cis;Unnamed: 10;0.0;0.0;0.0
eng;cis;afr;0.01078167115902965;0.07466666666666667;0.0032310177705977385
eng;cis;asia;0.014705882352941176;7.8478260869565215;0.0014780204062172213
eng;cis;cis;0.0109628217349857;0.04997642621404998;0.0
eng;cis;eur;0.0;4.2032967032967035;5.056122964910506e-05
eng;cis;noa;0.001669449081803005;0.07450000000000001;0.011757425742574257
eng;cis;oce;0.0;0.01285140562248996;0.0
eng;cis;row;0.0012376237623762376;0.4103831891223733;0.025845812534664447
eng;cis;rus;1.1376580336320117;0.011828543538801643;0.0
eng;cis;soa;0.0036900369003690036;0.039338235294117646;0.0
eng;eur;Unnamed: 10;0.0;0.0;0.0
eng;eur;afr;0.0035951603610524293;0.0009261881616313159;0.004803843074459567
eng;eur;asia;0.01846424384525205;0.15237410071942445;0.05908400809716599
eng;eur;cis;0.10796216079718732;0.0003594032153438875;0.012345679012345678
eng;eur;eur;5.1886394738719573e-05;0.05733149146188818;3.066901386852807e-05
eng;eur;noa;0.000267120771979031;0.0045732216176519675;0.0005302226935312832
eng;eur;oce;0.00018691588785046728;0.0015866193234909363;0.0043859649122807015
eng;eur;row;1.2676520548639809e-05;0.002991620926134851;0.012075471698113207
eng;eur;rus;0.6219731448472832;0.00019382054497776765;0.012557077625570776
eng;eur;soa;0.008079625292740047;0.0018198009834669146;0.0029276453366792136
eng;noa;Unnamed: 10;0.0;0.0;0.0
eng;noa;afr;0.0025787336771644904;0.0037377551578832153;0.0024600246002460025
eng;noa;asia;0.026275704493526276;0.849721706864564;0.0034070939281999786
eng;noa;cis;0.016170763260025874;0.03163590070019096;0.0061633281972265025
eng;noa;eur;-0.0005499037668408029;0.43988995873452547;3.168969451134491e-05
eng;noa;noa;5.926979611190138e-06;0.06667219848151683;6.667777962993832e-05
eng;noa;oce;0.0;0.034355179704016914;0.0022471910112359553
eng;noa;row;0.0;0.00011554726368159203;0.007155635062611807
eng;noa;rus;0.3171247357293869;0.0010112359550561798;0.0013175230566534915
eng;noa;soa;0.0021997621878715816;0.006209092167447747;0.009210060219624512
eng;oce;Unnamed: 10;0.0;0.0;0.0
eng;oce;afr;0.0;0.00441354292623942;0.008403361344537815
eng;oce;asia;0.0207663782447466;3.375877936546379;0.0023734487583528395
eng;oce;cis;0.004658385093167658;0.1391035548686244;0.0
eng;oce;eur;0.0;2.0954545454545452;0.0
eng;oce;noa;0.0;0.07529137529137528;0.0
eng;oce;oce;0.003424657534246575;0.055176336746302616;0.0010787486515641855
eng;oce;row;0.0;0.00762642262114279;0.04470588235294118
eng;oce;rus;0.3111111111111111;0.0010720338983050848;0.03802281368821293
eng;oce;soa;0.0012210012210011516;1.2560975609756098;0.0008084074373484236
eng;row;Unnamed: 10;0.0;0.0;0.0
eng;row;afr;0.00034328870580157915;0.19080301990391216;0.0032015590200445434
eng;row;asia;0.037619314991577765;10.631493506493506;0.007422130817928007
eng;row;cis;0.05787037037037037;0.0031325578717033282;0.0
eng;row;eur;-0.004325599685410932;0.5610189573459715;1.223555898151207e-05
