i;j;s;value
eng;eng;asia;0.22171432772495578
eng;eng;cis;2.3761781849383294
eng;eng;eur;0.06595528361720429
eng;eng;noa;0.7333952070649807
eng;eng;oce;1.2222022320314287
eng;eng;row;777.9020895626932
eng;eng;rus;4.755998447456794
eng;eng;soa;4.512169017952787
eng;its;afr;3.4837557123814253
eng;its;asia;0.8670103646584114
eng;its;cis;1.4812899341291617
eng;its;eur;0.46509774036439366
eng;its;noa;0.9373141215848787
eng;its;oce;1.5956513524500011
eng;its;row;2.753535480270729
eng;its;rus;3.931097244263464
eng;its;soa;1.2359472214119345
eng;man;afr;30.7650520755999
eng;man;asia;0.14995729948350492
eng;man;cis;2.324363415936748
eng;man;eur;0.0655007959635005
eng;man;noa;0.4472601493332825
eng;man;oce;10.93240552371597
eng;man;row;85.75742167270138
eng;man;rus;6.028171647076191
eng;man;soa;2.6684789664052304
its;CGDS;afr;0.9236600476535068
its;CGDS;asia;0.9619089225686077
its;CGDS;cis;0.9444027093262436
its;CGDS;eur;0.9274073404537433
its;CGDS;noa;0.9849649259207228
its;CGDS;oce;0.9829998632531937
its;CGDS;row;0.889369649601097
its;CGDS;rus;0.8872199201423959
its;CGDS;soa;0.977914068126272
its;Unnamed: 6;afr;0.0
its;Unnamed: 6;asia;0.0
its;Unnamed: 6;cis;0.0
its;Unnamed: 6;eur;0.0
its;Unnamed: 6;noa;0.0
its;Unnamed: 6;oce;0.0
its;Unnamed: 6;row;0.0
its;Unnamed: 6;rus;0.0
its;Unnamed: 6;soa;0.0
its;arg;afr;0.9230607846233442
its;arg;asia;0.9650798188535489
its;arg;cis;0.9064916198534435
its;arg;eur;0.9221350349076075
its;arg;noa;0.9863164095231767
its;arg;oce;0.9715837955392539
its;arg;row;0.8966111967292569
its;arg;rus;0.93089304042209
its;arg;soa;0.9739710885323248
its;eng;afr;0.8720794730072714
its;eng;asia;0.9522087870153206
its;eng;cis;0.8846040756650926
its;eng;eur;0.8888944426486171
its;eng;noa;0.9637125132999417
its;eng;oce;0.9403263901490145
its;eng;row;0.7931732850450524
its;eng;rus;0.9285485227943309
its;eng;soa;0.8314681828426885
its;its;afr;0.8617755924694372
its;its;asia;0.9256361253319977
its;its;cis;0.8357998321760651
its;its;eur;0.879541520529618
its;its;noa;0.9633756978352115
its;its;oce;0.9540368701893082
its;its;row;0.8239261066341977
its;its;rus;0.8932809572941366
its;its;soa;0.9154297065895324
its;man;afr;0.903432691307864
its;man;asia;0.9458233700998755
its;man;cis;0.8955058095991486
its;man;eur;0.8737780151138922
its;man;noa;0.9738690069926151
its;man;oce;0.9749473916829295
its;man;row;0.8132281603926268
its;man;rus;0.9044299520072406
its;man;soa;0.9404432460313566
man;CGDS;afr;0.5579732511491613
man;CGDS;asia;0.9321276439704617
man;CGDS;cis;0.5401900592594485
man;CGDS;eur;0.7906447588869777
man;CGDS;noa;0.7669952275764893
man;CGDS;oce;0.641442456674945
man;CGDS;row;0.737136562723252
man;CGDS;rus;0.6081454750419744
man;CGDS;soa;0.7225498576297193
man;Unnamed: 6;afr;0.0
man;Unnamed: 6;asia;0.0
man;Unnamed: 6;cis;0.0
man;Unnamed: 6;eur;0.0
man;Unnamed: 6;noa;0.0
man;Unnamed: 6;oce;0.0
man;Unnamed: 6;row;0.0
man;Unnamed: 6;rus;0.0
man;Unnamed: 6;soa;0.0
man;arg;afr;0.28786311549909777
