i;s;r;value
man;afr;noa;0.001112211370618319
man;afr;oce;0.00010503683896655484
man;afr;row;0.0005492607392614451
man;afr;rus;0.00030648400497618146
man;afr;soa;0.0005577421041229366
man;asia;afr;0.003946516283263931
man;asia;asia;4.7555790069620105
man;asia;cis;0.018193503229003736
man;asia;eur;0.319114838999095
man;asia;noa;0.07019969481576878
man;asia;oce;0.008008519533807401
man;asia;row;0.010237181203605034
man;asia;rus;0.03908619852697487
man;asia;soa;0.034074739883308044
man;cis;afr;4.424348625997426e-05
man;cis;asia;0.026377032779430445
man;cis;cis;0.00372277148507915
man;cis;eur;0.014287134567418196
man;cis;noa;0.0002455677085940833
man;cis;oce;5.160584689754615e-06
man;cis;row;0.0001390679107500262
man;cis;rus;0.007290250864995651
man;cis;soa;0.0001790252870765071
man;eur;afr;0.002378257213747147
man;eur;asia;1.351722874271652
man;eur;cis;0.021030661457261655
man;eur;eur;0.9413729534250661
man;eur;noa;0.02679980115620057
man;eur;oce;0.0027207580115826075
man;eur;row;0.006176126918194022
man;eur;rus;0.05228921538845662
man;eur;soa;0.01608243185212849
man;noa;afr;0.0005108614107480634
man;noa;asia;0.7647229248623494
man;noa;cis;0.0013696266991820064
man;noa;eur;0.10267787627301496
man;noa;noa;0.04374723068578605
man;noa;oce;0.00138124295907795
man;noa;row;0.0016076266620252161
man;noa;rus;0.006701439440496912
man;noa;soa;0.017501329171524273
man;oce;afr;4.526066972535641e-05
man;oce;asia;0.13741427045104554
man;oce;cis;9.887723893913277e-05
man;oce;eur;0.006494427214796722
man;oce;noa;0.0008315265023513039
man;oce;oce;0.0007461998127775715
man;oce;row;0.0002246678992095106
man;oce;rus;0.0003190552712333357
man;oce;soa;0.0002181391678164688
man;row;afr;0.0002967052131950837
man;row;asia;0.3016332653507263
man;row;cis;0.0005604086086569138
man;row;eur;0.020301358358644574
man;row;noa;0.0015025122339400038
man;row;oce;0.00012839301928746884
man;row;row;0.0014362171215735887
man;row;rus;0.0005732258715385358
man;row;soa;0.0007238959467815051
man;rus;afr;0.00012386571474067777
man;rus;asia;0.12303280547442941
man;rus;cis;0.012415583490211053
man;rus;eur;0.06467305702482719
man;rus;noa;0.00208143269373839
man;rus;oce;1.1330480960819431e-05
man;rus;row;0.00046655906904001884
man;rus;rus;0.0
man;rus;soa;0.0007864975458850129
man;soa;afr;0.00020485832865278292
man;soa;asia;0.1531140299264789
man;soa;cis;0.00022167911090696947
man;soa;eur;0.02423451691792796
man;soa;noa;0.004456585061141411
man;soa;oce;0.00011875002670580573
man;soa;row;0.00035731077647055913
man;soa;rus;0.0038917828719962594
man;soa;soa;0.00975978545403215
